title,category,total_seasons,total_episodes,info_links
25 Years of You,日劇,1,10,"[{""title"": ""Netflix"", ""url"": ""https://www.netflix.com""}]"
Dream to You,韓劇,1,16,[]
Family Register,韓劇,1,16,[]
Love in Sync,韓劇,1,16,[]
Murder 101,美劇,1,3,"[{""title"": ""Prime Video"", ""url"": ""https://www.primevideo.com""}]"
Silo 羊毛記 第三季 (Silo Season 3),美劇,3,10,"[{""title"": ""Apple TV+"", ""url"": ""https://www.apple.com/apple-tv-plus/""}]"
Spooky in Love,韓劇,1,16,"[{""title"": ""Netflix"", ""url"": ""https://www.netflix.com""}]"
The Apartment Job,韓劇,1,12,[]
The Husband,韓劇,1,8,[]
The Vacation Principle,日劇,1,8,"[{""title"": ""Netflix"", ""url"": ""https://www.netflix.com""}]"
今晚也與連續殺人犯約會 (Konya mo Serial Killer to Machiawase),日劇,1,10,[]
全美風暴 最終季 (All American Final Season),美劇,8,13,"[{""title"": ""The CW"", ""url"": ""https://www.cwtv.com""}]"
大熊餐廳 最終季 (The Bear Final Season),美劇,4,10,"[{""title"": ""FX / Hulu"", ""url"": ""https://www.hulu.com""}]"
復仇者聯盟：毀滅日 (Avengers: Doomsday),2026電影,1,1,"[{""title"": ""Marvel"", ""url"": ""https://www.marvel.com""}]"
挽救計劃 (Project Hail Mary),2026電影,1,1,[]
明明應該被丈夫殺掉了 (Otto ni Korosareta Hazunanoni),日劇,1,10,[]
星際爭霸戰：奇異新世界 第四季 (Star Trek: Strange New Worlds Season 4),美劇,4,10,"[{""title"": ""Paramount+"", ""url"": ""https://www.paramountplus.com""}]"
曼達洛人與古古 (The Mandalorian and Grogu),2026電影,1,1,"[{""title"": ""Star Wars"", ""url"": ""https://www.starwars.com""}]"
東宮 (The East Palace),韓劇,1,8,"[{""title"": ""Netflix"", ""url"": ""https://www.netflix.com""}]"
殺人者的購物中心 第二季 (A Shop for Killers Season 2),韓劇,2,8,"[{""title"": ""Disney+"", ""url"": ""https://www.disneyplus.com""}]"
氣體人 (Human Vapor),日劇,1,8,"[{""title"": ""Netflix"", ""url"": ""https://www.netflix.com""}]"
沙丘 3 (Dune: Part Three),2026電影,1,1,[]
測試,測試,1,12,[]
玩具總動員 5 (Toy Story 5),2026電影,1,1,"[{""title"": ""迪士尼官網"", ""url"": ""https://www.disney.com""}]"
穿著Prada的惡魔 2 (The Devil Wears Prada 2),2026電影,1,1,[]
超級無敵好看的測試神劇,科幻冒險,3,36,[]
超級瑪利歐銀河 (The Super Mario Galaxy Movie),2026電影,1,1,[]
鬼太郎 (1968),1968年1月新番,1,65,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/3677""}]"
巨靈神,1968年1月新番,1,74,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/4494""}]"
巨人之星 第一季,1968年1月新番,1,182,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/3678""}]"
無敵鐵金剛 原祖 (1968),1968年1月新番,1,52,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/3679""}]"
怪物小王子 (1968),1968年1月新番,1,49,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/3680""}]"
人造人009 (1968),1968年1月新番,1,26,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/3681""}]"
佐助 (1968),1968年1月新番,1,29,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/3682""}]"
茜色醬 (1968),1968年1月新番,1,26,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/3683""}]"
法力無邊小仙女 (1968),1968年1月新番,1,39,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/3684""}]"
