title,category,total_seasons,total_episodes,info_links,image_url
劇場版 請問您今天要來點兔子嗎？～We Are Family！～,日本動畫電影製作決定,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/5732""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/5732/YlPBCCBKdl.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5732/X2eFDULdm6.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5732/Lv38iXWhKW.webp"
銀河鐵道999 新作劇場版動畫,日本動畫電影製作決定,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/6509""}]",https://d28s5ztqvkii64.cloudfront.net/images/anime/6509/RIsrTidbYV_2x.webp
劇場版 我獨自升級 -Beyond the System-,日本動畫電影製作決定,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/6479""}]",https://d28s5ztqvkii64.cloudfront.net/images/anime/6479/9Ud5xszP8m_2x.webp
KING OF PRISM-Tri-Star Act-,日本動畫電影製作決定,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/6466""}]",https://d28s5ztqvkii64.cloudfront.net/images/anime/6466/bPx5S1OAXm_2x.webp
魔法のない世界で生きるということ,日本動畫電影製作決定,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/6431""}]",https://d28s5ztqvkii64.cloudfront.net/images/anime/6431/igSRLtKWk7_2x.webp
Paradox Live THE ANIMATION,日本動畫電影製作決定,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/6417""}]",https://d28s5ztqvkii64.cloudfront.net/images/anime/6417/SMRc7wxfpr_2x.webp
章魚嗶的原罪 -ありがとう、また明日-,日本動畫電影製作決定,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/6411""}]",https://d28s5ztqvkii64.cloudfront.net/images/anime/6411/4uNQNtqNZq_2x.webp
GIGANT 殺戮女巨人,日本動畫電影製作決定,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/6405""}]",https://d28s5ztqvkii64.cloudfront.net/images/anime/6405/ZF0nsDeKRJ_2x.webp
少女與戰車 緞帶武者,日本動畫電影製作決定,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/6297""}]",https://d28s5ztqvkii64.cloudfront.net/images/anime/6297/VNYipIQPkn.webp
劇場版 輝夜姬想讓人告白 完結篇,日本動畫電影製作決定,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/6204""}]",https://d28s5ztqvkii64.cloudfront.net/images/anime/6204/mzIbI7n9Fd.webp
神去月のけもの,日本動畫電影製作決定,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/6096""}]",https://d28s5ztqvkii64.cloudfront.net/images/anime/6096/yZjIOeoI9v.webp
死亡擱淺 MOSQUITO(暫定）,日本動畫電影製作決定,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/6064""}]",https://d28s5ztqvkii64.cloudfront.net/images/anime/6064/KCu2yOrjEi.webp
少女樂團 吶喊吧 完全新作映画,日本動畫電影製作決定,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/6061""}]",https://d28s5ztqvkii64.cloudfront.net/images/anime/6061/2wV4XMvNVQ.webp
忍者蝙蝠俠 VS 極道聯盟,日本動畫電影製作決定,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/5258""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/5258/ONn5ruaPH8.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5258/RLfzSm9LIP.webp"
PUI PUI 天竺鼠車車 The Movie MOLMAX 續作,日本動畫電影製作決定,1,1,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/5601""}]",https://d28s5ztqvkii64.cloudfront.net/images/anime/5601/xdC3cdkk8E.webp
