title,category,total_seasons,total_episodes,info_links,image_url
不時輕聲地以俄語遮羞的鄰座艾莉同學 第二季,動畫化決定,1,0,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/5466""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/5466/5u4i8SNhMv_2x.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5466/45QcG5Ob3G.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5466/iRAZEL3dme.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5466/jflPAZV5mv.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5466/ZDIRVGKmEY.webp"
世界頂尖的暗殺者轉生為異世界貴族 第二季,動畫化決定,1,0,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/4697""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/4697/i4tbpQnUIL_2x.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/4697/eU6orFCBXJ.webp"
全知讀者視角,動畫化決定,1,0,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/5333""}]",https://d28s5ztqvkii64.cloudfront.net/images/anime/5333/Z0r34dbKr5.webp
敗北女角太多了！第二季,動畫化決定,1,0,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/5806""}]",https://d28s5ztqvkii64.cloudfront.net/images/anime/5806/AoLLtSUisp.webp
孤獨搖滾！第二季,動畫化決定,1,0,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/5714""}]",https://d28s5ztqvkii64.cloudfront.net/images/anime/5714/K31BxgeNKU.webp
膽大黨 第三季,動畫化決定,1,0,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/6050""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/6050/oBGKoRqPEI.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/6050/MaV5PDZaY2.webp"
狼與辛香料 merchant meets the wise wolf 第二季,動畫化決定,1,0,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/5473""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/5473/iPw53gPOIC.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5473/8sp1VoH1If.webp"
搖曳露營△ 第四季,動畫化決定,1,0,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/5555""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/5555/sGZhNgwUck.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5555/oIEEWOfOum.webp"
庫洛魔法使 透明牌篇 續作,動畫化決定,1,0,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/4214""}]",https://d28s5ztqvkii64.cloudfront.net/images/anime/4214/v8tl2Op8YA.webp
失憶投捕 第二季,動畫化決定,1,0,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/5557""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/5557/5Ew3oz4xKT.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5557/kpOGlmEGYl.webp"
治癒魔法的錯誤使用法 第二季,動畫化決定,1,0,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/5400""}]",https://d28s5ztqvkii64.cloudfront.net/images/anime/5400/FSUYV4gxSR.webp
異世界マンチキン ーHP1のままで最強最速ダンジョン攻略ー,動畫化決定,1,0,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/5551""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/5551/fjJRpTPNKO.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5551/A8vp9cNGEn.webp"
夢想成為魔法少女 第二季,動畫化決定,1,0,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/5503""}]",https://d28s5ztqvkii64.cloudfront.net/images/anime/5503/NCJ8jAH1Jg.webp
月光下的異世界之旅 第三幕,動畫化決定,1,0,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/5304""}]",https://d28s5ztqvkii64.cloudfront.net/images/anime/5304/z7jDyNThOR.webp
雨夜之月,動畫化決定,1,0,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/5569""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/5569/SHlzdRH6av.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5569/0rxKejkL5o.webp"
躍動青春 第二季,動畫化決定,1,0,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/5638""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/5638/s2VnInGAZ6.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5638/HNQyINNJ3f.webp"
為美好的世界獻上祝福！4,動畫化決定,1,0,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/5758""}]","https://d28s5ztqvkii64.cloudfront.net/images/anime/5758/K095XIAKRj_2x.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5758/gB3LGRLy9v.webp
https://d28s5ztqvkii64.cloudfront.net/images/anime/5758/9vvOsatmld.webp"
瑠璃龍龍,動畫化決定,1,0,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/6197""}]",https://d28s5ztqvkii64.cloudfront.net/images/anime/6197/o3ntciphEF.webp
非自願的不死冒險者 第二季,動畫化決定,1,0,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/5630""}]",https://d28s5ztqvkii64.cloudfront.net/images/anime/5630/wlYPpqzYQt.webp
2.5次元的誘惑 第二季,動畫化決定,1,0,"[{""title"": ""YourAnimes 連結"", ""url"": ""https://youranimes.tw/animes/5627""}]",https://d28s5ztqvkii64.cloudfront.net/images/anime/5627/ZHo9EbtdbP.webp
